"y","x1","x2","x3"
1,1.0,0.6114796422902689,0.3307448433948541
1,1.0,0.909675068381095,0.14481766228384507
0,1.0,0.09218745084263857,0.1114843630245339
0,1.0,0.35518826863321684,0.39608370112656965
0,1.0,0.4316501620341271,0.5308172660351524
1,1.0,0.9969630401180511,0.48960615657974715
0,1.0,0.6644247226121955,0.6510160370325513
1,1.0,0.9232282322568994,0.6007927313844443
0,1.0,0.4796150096166283,0.116049261114749
0,1.0,0.22786284023954928,0.25932609541452734
0,1.0,0.5679697046852907,0.742018081345915
1,1.0,0.9313228459073712,0.5753053315146504
0,1.0,0.5952938383756523,0.6468013225034581
0,1.0,0.1034465481881015,0.4764019181164152
0,1.0,0.10760771388070789,0.9259430427369295
0,1.0,0.5607709544541413,0.027746852000500866
1,1.0,0.49765133914503257,0.5057977584400712
0,1.0,0.02020195702365646,0.7387847230678823
1,1.0,0.7443861805120315,0.19439981500841896
0,1.0,0.22893951495186715,0.05728035288408995
1,1.0,0.9272567867247348,0.9986635282462404
0,1.0,0.9938297028440561,0.08120905937932177
1,1.0,0.9076292814078721,0.6459264013402581
0,1.0,0.6574676536592041,0.9504394916290491
0,1.0,0.29728260947045393,0.5918918089021898
1,1.0,0.24873882162192884,0.8660723518988096
0,1.0,0.6501106573063431,0.5495438351639417
0,1.0,0.2973933950693597,0.10264416711898794
0,1.0,0.10127532338396761,0.6379289616560131
1,1.0,0.05005510691401849,0.03419160423861034
1,1.0,0.2069410719591509,0.8199719916730339
1,1.0,0.44726999159847547,0.7454105794125272
1,1.0,0.7593163276661028,0.07393095759214385
1,1.0,0.6558125967532418,0.45034177364354755
1,1.0,0.6733054736006705,0.12158084487930987
1,1.0,0.00656332097412049,0.887362090801235
1,1.0,0.9939350479356359,0.6895591912987298
1,1.0,0.3414452978361062,0.10071876130556467
0,1.0,0.5024066805313492,0.7251861471634706
0,1.0,0.0003211165584193765,0.12403676324542467
1,1.0,0.7351565268225091,0.8678113197047839
0,1.0,0.9879284235133283,0.9964508273326276
0,1.0,0.8170545439440962,0.4520971910624272
0,1.0,0.41814606055744985,0.34501243793357594
1,1.0,0.10363656399723542,0.39173190991194784
0,1.0,0.7433687844276009,0.24677929559505896
0,1.0,0.7547004155441721,0.6262830029325377
0,1.0,0.9836710803308621,0.06834908644849924
0,1.0,0.1458489587977283,0.11907094447012145
0,1.0,0.93574599063705,0.27791983395242537
0,1.0,0.13556610048662066,0.9725391879044707
0,1.0,0.2867703782008366,0.36676655356980814
1,1.0,0.8893259800180935,0.26973719535881857
0,1.0,0.2009052913050975,0.5090309227082284
0,1.0,0.6412330829688773,0.9463715108635053
0,1.0,0.3648688978837493,0.6386436318351221
0,1.0,0.8882707349843,0.8162749969911438
1,1.0,0.6393607118166047,0.9509581200942432
0,1.0,0.37425213791871936,0.5989261123268843
1,1.0,0.91638637097361,0.9743624389439227
1,1.0,0.47589241596078247,0.0754672641917924
0,1.0,0.514686382603387,0.9355567124258601
0,1.0,0.9597437512009908,0.9564865959728779
1,1.0,0.7243276045123868,0.9486695772466682
1,1.0,0.25643728723210546,0.9891157881127648
0,1.0,0.44930242734347137,0.286743982183153
1,1.0,0.8212820080880141,0.9095922226774109
0,1.0,0.8870595530193626,0.16640235884584587
0,1.0,0.2106823257571191,0.6321098751718637
1,1.0,0.4700679656421525,0.6247655111120318
0,1.0,0.10047790312753868,0.8505700440027788
0,1.0,0.3945341952648347,0.7825844976587464
1,1.0,0.6636590933560393,0.3965054756626032
0,1.0,0.497820353108436,0.2611599575044319
0,1.0,0.9691635113885226,0.44224460987943215
1,1.0,0.400963690004166,0.19170866329788416
1,1.0,0.8957394844070854,0.4642046792014223
1,1.0,0.5180069873255859,0.7181901583919392
0,1.0,0.5455028048927797,0.6129534730254045
0,1.0,0.40785957045797594,0.7942075962793587
0,1.0,0.033024904438747615,0.17292139635753956
1,1.0,0.02293232610609408,0.6717417534576733
0,1.0,0.029632160528435314,0.6282448080117731
0,1.0,0.5073964311054484,0.9726442300892317
1,1.0,0.7416001475032976,0.8101854306113896
0,1.0,0.24252940643720966,0.2503926202746469
1,1.0,0.7709011096157252,0.5501715808375371
0,1.0,0.2527865990264646,0.39928119612592217
0,1.0,0.37425743315939974,0.21464340067719223
0,1.0,0.20342099754530696,0.32719628339264917
1,1.0,0.8208895764561828,0.7207168996754454
1,1.0,0.9762500166233365,0.3359682874300731
